Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
yam,1982,Two Hundred Years of NZ Food & Cookery,BURTON,4,,Yam has died out completely.,
yam,"May 13, 1983","Press, The",,2,,"The yams available locally are of the small pink variety with white flesh is common in most tropical countries, but this has a weaker taste than the pink yam.",
yam,"Oct 21, 1769",Cook's Journals,,I-583,1955,The Yams are planted in like manner with the sweet potatoes: ... .br;.us;[<i> ed. fn</i>: the yam <i> or</i> uwhi disappeared after the introduction of the easily-grown potato.],W.B. Monkhouse in 1955 Cook Journal
yam,"Mar 31, 1770",Cook's Journals,,I-282,1955,"Firn [sic] roots, Dogs, Fish and wild foul [sic] is their chief diet, for Cocos, Yamms and sweet Potatoes is [sic]n ot cultivated every w[h]ere. <i>Ibid.</i> 1/287 <i> English New Zeland South-sea Islands ... ... ... Coccos Tara Taro Sweet Potatoes Cumala Cumala Yamms Tuphwhe Tuphwhe </i>",
yam,Feb 1777,Journal,LEDYARD,14,1963,"[Queen Charlotte Sound] The food of the New-Zealanders is chiefly fish, some of which they dry and some they eat raw: They also have some yams upon the northern Island, but not in lenty; ... [ed. note Helen M. Gilkey 237] Yam, <i>Dioscorea</i> spp. Dioscoreaceae. The word `yam', as used in the Pacific Islands, commonly refers not to a form of sweet potato, as in America, but to a species of Dioscorea which belong to a completely unrelated plant family. One wonders, however, if Ledyard in his reference to yams in New Zealand ... did not mean the sweet potato; for in Hooker's Handbook of New Zealand Flora, ...1864, no mention is made of the presence of <i> Dioscorea</i> in these islands at that time, but of the sweet potato <i> (Ipomoea batatas</i> Poir.) it is said, `now much cultivated in New Zealand'. Certainly, however, throughout most (if not all) his journal, Ledyard uses `yam' in its ordinary South-Pacific connotation. Several species of Dioscorea were used by the inhabitants of various islands visited during the expedition, some being cultivated. All, apparently, had previously been introduced from Malaya.",
yam,1770,Endeavour Journal,BANKS,2/127,,,
yam,1778,Observations Made During a Voyage,FORSTER,284,,A Comparative Table of the Various Languages in the Isles of the South-Sea ... [English] <i> Yams</i> ... [New-Zeeland] (<i> have none</i>),
yam,1815,Letters & Journals of Samuel Marsden,,125,1932,"We here found some pretty little cottages and their gardens in high cultivation, neatly fenced and laid out, and the potatoes, yams, etc., all planted in separate beds with not a weed to be seen.",
yam,1815,Letters & Journals of Samuel Marsden,,125,1932,"We here found some pretty little cottages and their gardens in high cultivation, neatly fenced and laid out, and the potatoes, yams, etc., all planted in separate beds with not a weed to be seen.",
yam,1834,Extracts From a Journal,McDONNELL,15,1979,"there is no lack of cabbages, ... a particularly fine species of yam, with other esculent roots.",
